year,crop_type,soil_type,soil_ph,nitrogen,phosphorus,potassium,temperature,rainfall,humidity,irrigation_level,sunshine_hours,yield_kg_acre,yield_tons_ha
2026,Tomato,Black Soil,7.65,121,97,126,31.2,1003,31.3,Low,11.8,5856.21,14.471
2024,Wheat,Laterite,6.36,138,80,10,14.2,282,59.6,Medium,10.3,544.92,1.347
2022,Banana,Peaty,8.2,181,107,199,10.5,2091,45.0,Low,5.9,4288.22,10.596
2020,Potato,Alluvial,5.61,185,43,137,25.6,150,93.0,Medium,10.2,2914.58,7.202
2023,Rice,Laterite,7.07,104,10,69,20.7,1211,48.3,Medium,8.3,769.7,1.902
2020,Wheat,Silt Loam,7.82,106,74,62,31.9,306,86.1,High,9.0,380.41,0.94
2026,Rice,Loam,7.38,173,93,61,21.5,810,93.2,High,10.8,1225.35,3.028
2020,Onion,Peaty,7.56,127,46,55,16.1,629,66.6,High,9.6,6629.45,16.382
2024,Sugarcane,Peaty,6.82,276,100,97,18.9,2113,36.9,High,7.7,12762.48,31.537
2023,Groundnut,Laterite,6.03,10,43,56,29.4,295,64.7,High,7.9,449.1,1.11
2023,Wheat,Alluvial,5.55,103,45,10,11.9,1042,46.5,Medium,6.0,570.75,1.41
2022,Sugarcane,Loam,7.12,255,63,90,18.4,1732,39.4,Low,7.9,10513.91,25.98
2022,Soybean,Peaty,6.09,65,44,58,22.0,692,83.1,High,10.4,1115.3,2.756
2023,Mustard,Alluvial,4.57,38,10,31,29.4,587,55.1,High,11.5,212.23,0.524
2021,Wheat,Silt Loam,8.48,107,73,66,26.7,784,64.4,Low,5.9,633.67,1.566
2022,Barley,Silt Loam,7.62,117,60,65,12.5,602,30.3,High,5.3,1019.58,2.519
2022,Apple,Clay Loam,7.3,125,16,81,32.4,404,72.2,Medium,10.8,1280.39,3.164
2026,Coffee,Alluvial,5.58,216,47,121,24.6,1550,52.8,Medium,9.2,974.18,2.407
2023,Garlic,Loam,7.61,52,57,54,10.5,799,90.3,Low,7.4,1959.1,4.841
2020,Wheat,Alluvial,6.2,147,31,74,17.6,241,85.2,Medium,5.1,628.39,1.553
2021,Mustard,Peaty,7.98,90,46,30,25.0,705,81.9,Low,9.2,795.55,1.966
2026,Coffee,Alluvial,6.12,172,44,98,11.1,2410,48.6,High,8.7,430.16,1.063
2025,Sunflower,Black Soil,5.8,20,70,26,39.0,871,59.7,Medium,10.7,271.43,0.671
2021,Maize,Peaty,6.72,104,91,44,18.1,522,31.6,Low,11.7,1183.85,2.925
2021,Barley,Red Soil,8.44,35,36,39,25.5,702,72.7,Low,7.5,422.14,1.043
2020,Onion,Red Soil,5.84,108,36,107,23.9,502,91.7,High,11.1,5157.47,12.744
2022,Watermelon,Laterite,6.66,124,92,94,27.6,521,91.1,Medium,8.6,15927.49,39.358
2024,Wheat,Alluvial,7.19,76,72,66,16.2,290,54.5,High,4.3,733.58,1.813
2020,Apple,Alluvial,7.32,154,15,69,24.9,511,75.0,High,6.8,1623.85,4.013
2020,Cotton,Laterite,6.94,107,95,58,13.8,922,86.4,Low,8.5,382.32,0.945
2024,Coffee,Loam,7.68,128,10,111,21.7,2738,49.3,High,4.8,212.81,0.526
2021,Onion,Black Soil,7.22,134,10,68,19.9,1055,81.5,High,10.3,5689.52,14.059
2021,Tea,Red Soil,4.75,66,79,62,13.5,2081,39.3,Medium,10.1,523.12,1.293
2020,Tomato,Saline,8.03,168,78,125,12.5,1054,91.6,Medium,11.9,2409.84,5.955
2023,Cotton,Black Soil,4.86,120,91,66,13.3,694,62.0,Medium,4.1,189.61,0.469
2020,Potato,Silt Loam,7.43,128,61,74,24.3,570,58.4,High,10.4,3700.94,9.145
2024,Tea,Red Soil,8.77,143,15,70,28.9,1974,75.2,Medium,7.6,234.46,0.579
2022,Mustard,Peaty,5.71,143,94,10,18.3,344,53.0,Low,8.7,472.94,1.169
2025,Sugarcane,Silt Loam,4.64,197,39,52,14.0,2037,35.0,High,11.5,6357.82,15.71
2021,Rice,Laterite,6.87,79,42,20,33.3,1519,54.5,Medium,10.0,1099.66,2.717
2020,Sunflower,Loam,6.28,86,58,46,40.0,705,94.8,Medium,8.4,560.28,1.384
2020,Onion,Silt Loam,8.6,121,15,93,30.2,150,37.4,Medium,9.4,811.65,2.006
2022,Rice,Sandy Loam,6.74,145,78,75,22.1,1458,38.7,Medium,4.2,1449.53,3.582
2025,Rice,Alluvial,7.15,187,51,56,29.1,1095,77.2,High,8.4,2085.72,5.154
2023,Wheat,Saline,5.78,186,65,35,35.3,1096,80.0,High,4.5,384.56,0.95
2020,Rice,Alluvial,6.48,123,10,87,30.9,1596,56.8,High,11.0,1434.91,3.546
2022,Apple,Laterite,8.03,55,10,101,26.0,628,53.1,High,11.2,990.58,2.448
2026,Barley,Laterite,7.2,61,66,19,32.4,314,54.1,Low,7.9,320.67,0.792
2024,Onion,Saline,4.77,130,61,71,21.9,965,36.8,Medium,9.9,3590.31,8.872
2021,Sunflower,Peaty,6.8,44,42,10,24.2,1070,61.2,Medium,8.7,771.09,1.905
2023,Rice,Saline,5.05,109,15,73,20.7,2068,94.1,Low,8.8,727.44,1.798
2023,Soybean,Sandy Loam,8.16,31,64,72,37.5,1328,83.4,High,9.7,218.56,0.54
2022,Groundnut,Saline,8.11,10,65,50,31.2,1198,79.9,Medium,4.7,232.98,0.576
2025,Tea,Alluvial,5.95,140,19,89,30.4,1985,60.7,Low,7.3,394.67,0.975
2023,Sunflower,Red Soil,8.65,102,44,42,27.2,545,84.7,Medium,5.1,434.73,1.074
2024,Maize,Red Soil,5.51,170,83,66,19.5,1398,59.4,Low,9.7,1579.83,3.904
2026,Banana,Sandy Loam,6.39,134,84,267,12.0,881,44.9,Low,8.3,4352.32,10.755
2023,Banana,Saline,7.91,173,75,306,36.8,1529,50.3,Medium,6.0,4708.41,11.635
2021,Wheat,Black Soil,7.78,107,80,72,14.5,444,44.9,Medium,9.8,973.26,2.405
2022,Banana,Black Soil,7.08,247,30,232,22.7,1984,89.3,Medium,5.1,12288.26,30.365
2026,Apple,Silt Loam,7.62,69,45,84,12.1,1255,35.0,Low,4.8,3163.04,7.816
2026,Onion,Black Soil,8.46,83,51,107,27.7,444,51.8,Medium,10.4,2481.99,6.133
2023,Barley,Alluvial,6.81,81,60,66,23.6,213,44.6,High,7.6,865.26,2.138
